"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",69,
"CHN","GPENSION","WOMEN","PC_PRERETEARN","A","2018",60.8,
"CHN","GPENSION","WOMEN","PC_PRERETEARN","A","2020",55.7,
"IND","GPENSION","MEN","PC_PRERETEARN","A","2014",96.5,
"IND","GPENSION","MEN","PC_PRERETEARN","A","2018",83.4,
"IND","GPENSION","MEN","PC_PRERETEARN","A","2020",56.4,
"IND","GPENSION","WOMEN","PC_PRERETEARN","A","2014",91.3,
"IND","GPENSION","WOMEN","PC_PRERETEARN","A","2018",80.4,
"IND","GPENSION","WOMEN","PC_PRERETEARN","A","2020",55.6,
"IDN","GPENSION","MEN","PC_PRERETEARN","A","2014",13,
"IDN","GPENSION","MEN","PC_PRERETEARN","A","2018",55.3,
"IDN","GPENSION","MEN","PC_PRERETEARN","A","2020",55.3,
"IDN","GPENSION","WOMEN","PC_PRERETEARN","A","2014",11.8,
"IDN","GPENSION","WOMEN","PC_PRERETEARN","A","2018",53,
"IDN","GPENSION","WOMEN","PC_PRERETEARN","A","2020",53,
"RUS","GPENSION","MEN","PC_PRERETEARN","A","2014",75.2,
"RUS","GPENSION","MEN","PC_PRERETEARN","A","2018",49.6,
"RUS","GPENSION","MEN","PC_PRERETEARN","A","2020",47.2,
"RUS","GPENSION","WOMEN","PC_PRERETEARN","A","2014",64.1,
"RUS","GPENSION","WOMEN","PC_PRERETEARN","A","2018",45.2,
"RUS","GPENSION","WOMEN","PC_PRERETEARN","A","2020",43.4,
"SAU","GPENSION","MEN","PC_PRERETEARN","A","2014",59.6,
"SAU","GPENSION","MEN","PC_PRERETEARN","A","2018",59.6,
"SAU","GPENSION","MEN","PC_PRERETEARN","A","2020",59.6,
"SAU","GPENSION","WOMEN","PC_PRERETEARN","A","2014",59.6,
"SAU","GPENSION","WOMEN","PC_PRERETEARN","A","2018",59.6,
"SAU","GPENSION","WOMEN","PC_PRERETEARN","A","2020",59.6,
"ZAF","GPENSION","MEN","PC_PRERETEARN","A","2014",10.5,
